Food_Type,Quantity,Preparation_Time,Storage_Hours,Temperature,Food_Safe
Vegetables,25.7,47.0,23.2,4.9,No
Fast Food,13.1,25.0,3.5,2.8,No
Dairy Products,10.6,14.4,3.0,19.8,Yes
Fast Food,19.1,39.0,1.1,24.4,Yes
Vegetables,17.8,2.4,63.8,12.2,No
Fruits,21.3,32.6,3.2,18.3,Yes
Fast Food,13.2,29.2,2.1,50.4,No
Rice,9.2,86.1,9.9,-4.3,No
Fast Food,17.4,50.1,1.6,65.4,No
Dairy Products,24.7,2.9,8.4,-4.2,No
Rice,4.6,16.0,4.9,1.3,Yes
Fruits,31.7,28.4,47.1,-4.2,Yes
Rice,32.4,55.7,13.7,47.7,No
Bread,55.8,24.9,56.8,15.1,No
Fruits,32.2,29.7,51.5,19.0,No
Fast Food,20.1,32.7,5.8,7.2,No
Rice,28.1,50.0,2.7,-4.5,Yes
Vegetables,66.3,18.3,54.0,35.7,No
Dairy Products,25.7,5.7,2.6,15.4,No
Curry,27.2,68.1,1.3,62.6,Yes
Fruits,51.9,3.3,72.7,6.3,Yes
Fruits,76.2,16.1,72.7,5.6,No
Curry,13.4,54.1,9.4,22.5,Yes
Vegetables,26.2,19.0,31.1,-4.8,No
Dairy Products,22.5,17.4,10.2,-0.6,No
Fruits,36.2,34.9,52.8,-0.1,No
Fast Food,7.7,49.6,5.4,11.7,No
Dairy Products,3.2,0.7,6.3,-4.0,No
Fast Food,15.2,54.4,3.5,41.2,Yes
Dairy Products,23.5,14.6,3.1,20.5,No
Curry,19.1,61.2,6.3,40.2,Yes
Dairy Products,5.8,20.6,5.6,0.9,No
Dairy Products,22.2,37.6,1.0,20.1,No
Bread,14.8,103.6,37.5,39.6,No
Rice,3.0,58.4,2.3,82.2,Yes
Fast Food,18.8,34.7,3.6,27.0,Yes
Dairy Products,27.0,3.1,3.4,27.1,No
Bread,49.2,58.3,57.2,44.4,No
Fruits,14.1,3.5,69.7,4.5,Yes
Vegetables,50.5,7.1,17.0,31.5,Yes
Dairy Products,14.9,8.4,2.4,22.5,No
Curry,23.4,19.3,9.6,-1.5,No
Curry,11.1,21.6,14.4,48.9,No
Dairy Products,22.1,32.9,11.4,2.1,No
Fast Food,12.6,13.2,2.8,7.1,Yes
Vegetables,46.5,15.9,52.3,10.4,Yes
Rice,12.3,34.7,2.4,13.2,Yes
Dairy Products,13.2,6.0,1.6,10.7,No
Fast Food,13.8,45.1,1.0,51.0,Yes
Fast Food,1.0,56.3,4.2,31.7,No
Dairy Products,16.4,9.2,9.7,21.1,No
Fast Food,18.8,45.7,4.3,3.3,No
Fast Food,6.6,51.5,2.1,69.5,No
Rice,35.7,71.0,10.6,5.6,No
Dairy Products,24.3,16.4,1.7,9.1,No
Fast Food,13.9,33.9,3.9,79.3,No
Fruits,44.6,25.1,19.7,20.2,No
Vegetables,24.8,42.3,53.1,33.5,No
Fruits,62.9,42.7,11.3,17.9,Yes
Vegetables,49.1,42.4,12.0,38.4,No
Fast Food,4.5,55.6,2.9,0.4,No
Vegetables,3.6,23.1,70.9,22.6,No
Rice,47.3,73.8,11.7,34.5,Yes
Bread,12.5,119.8,37.0,34.9,No
Bread,15.1,10.0,11.8,49.8,No
Dairy Products,12.5,23.4,6.5,19.3,No
Vegetables,20.6,49.8,65.9,10.7,No
Curry,24.6,23.3,14.0,46.7,Yes
Vegetables,8.3,4.3,21.5,37.6,No
Vegetables,57.1,34.5,50.1,38.5,No
Fast Food,9.2,46.5,4.2,71.2,No
Rice,13.6,34.4,14.3,14.8,Yes
Fruits,76.5,23.2,1.5,32.4,No
Fruits,54.2,36.9,8.7,36.9,No
Curry,35.9,32.3,14.2,56.5,Yes
Dairy Products,6.8,29.4,10.5,1.8,No
Fast Food,15.8,9.4,1.1,73.2,Yes
Vegetables,1.5,51.4,69.0,33.2,No
Fruits,72.0,39.6,62.3,7.4,Yes
Bread,24.5,115.0,9.7,26.3,Yes
Rice,25.6,35.4,12.5,10.7,Yes
Fruits,25.9,0.4,73.0,12.1,Yes
Vegetables,60.5,11.2,19.3,7.1,Yes
Bread,11.9,69.4,30.5,37.6,No
Bread,27.6,90.0,70.5,34.3,No
Fast Food,6.7,25.9,2.6,7.4,Yes
Fruits,64.6,7.9,54.2,39.8,Yes
Vegetables,50.7,47.1,22.0,20.3,No
Rice,34.8,5.4,14.7,37.9,No
Dairy Products,10.7,14.4,6.9,25.8,No
Fruits,10.6,39.0,104.0,4.0,Yes
Curry,39.2,34.2,5.2,40.9,Yes
Rice,19.7,25.8,11.6,8.0,Yes
Fruits,50.9,25.7,91.8,-1.8,No
Bread,19.7,50.8,19.6,32.2,No
Fast Food,21.7,21.8,3.7,77.1,No
Fast Food,1.6,43.7,4.1,74.9,No
Curry,7.5,12.4,1.4,74.1,No
Fast Food,10.5,45.9,1.0,17.3,Yes
Bread,14.5,113.3,32.2,6.3,No
Rice,2.7,32.1,16.5,72.8,No
Bread,33.4,28.9,68.3,27.0,No
Dairy Products,22.7,35.1,5.5,16.1,No
Fruits,43.6,36.2,48.0,11.5,No
Rice,1.0,73.4,15.3,25.9,No
Dairy Products,27.7,37.9,6.0,-4.7,No
Vegetables,17.0,0.4,27.2,13.5,Yes
Curry,7.4,88.5,6.2,29.1,Yes
Dairy Products,7.9,30.6,11.0,21.6,No
Dairy Products,22.5,32.4,5.2,23.2,No
Rice,32.2,55.6,5.3,51.0,No
Curry,2.9,64.2,3.2,4.2,Yes
Dairy Products,1.2,3.6,0.7,2.2,Yes
Bread,28.4,120.8,24.1,42.2,No
Bread,46.8,20.0,34.1,9.6,No
Fast Food,1.3,58.5,4.4,27.7,No
Dairy Products,29.8,8.0,9.0,-1.9,No
Fruits,31.7,43.3,101.1,2.1,Yes
Vegetables,9.4,28.9,21.9,11.2,Yes
Rice,12.6,39.1,0.8,66.5,Yes
Fast Food,6.8,58.1,3.7,53.7,No
Bread,46.5,44.8,36.2,34.3,No
Rice,18.4,13.9,9.9,4.7,Yes
Vegetables,55.4,45.4,58.1,14.7,No
Bread,43.7,45.1,3.3,35.3,Yes
Dairy Products,15.2,22.7,6.8,5.7,Yes
Fast Food,14.3,4.1,1.4,20.1,Yes
Fruits,1.1,28.7,41.2,3.3,No
Fast Food,15.9,19.2,0.8,77.2,Yes
Vegetables,48.1,45.9,11.5,7.7,Yes
Rice,5.7,59.3,1.3,79.4,No
Curry,5.2,23.0,1.0,52.8,Yes
Vegetables,44.1,35.4,4.0,4.9,Yes
Curry,26.6,111.4,12.6,37.1,No
Vegetables,52.3,53.4,59.3,30.7,No
Bread,32.2,112.8,60.2,3.9,No
Rice,6.0,20.8,7.2,12.4,Yes
Dairy Products,28.5,22.3,6.9,19.6,No
Bread,40.8,108.4,31.0,5.2,Yes
Fruits,40.9,29.6,57.9,22.0,No
Vegetables,69.4,19.5,27.1,29.4,No
Vegetables,17.6,32.7,27.3,19.8,Yes
Fruits,36.4,17.9,78.6,39.2,No
Curry,39.7,36.2,4.9,15.0,Yes
Fast Food,20.7,41.4,2.0,42.1,Yes
Curry,4.7,55.2,2.8,18.8,Yes
Curry,11.0,36.0,8.8,46.2,No
Dairy Products,10.4,19.3,6.1,24.7,No
Vegetables,45.3,2.2,58.3,12.2,No
Bread,52.9,70.8,67.0,6.0,No
Rice,32.1,56.9,1.4,42.2,Yes
Curry,13.7,83.7,2.7,55.6,Yes
Fast Food,15.3,30.3,1.7,19.6,Yes
Bread,5.9,90.0,4.0,20.0,Yes
Fruits,62.1,5.9,15.0,20.2,Yes
Curry,22.9,119.6,8.1,16.8,No
Bread,41.4,90.6,8.5,20.7,Yes
Bread,21.3,101.8,55.5,8.5,No
Vegetables,11.1,2.7,59.0,4.0,No
Rice,37.2,21.9,11.4,8.3,Yes
Rice,17.8,72.4,5.8,37.4,Yes
Curry,8.9,62.8,4.3,38.5,Yes
Dairy Products,21.3,0.7,7.2,16.9,No
Rice,14.9,71.0,11.3,-0.2,No
Rice,20.0,24.4,15.4,54.4,No
Bread,52.2,100.9,17.0,19.0,Yes
Bread,29.6,93.6,6.8,9.9,Yes
Dairy Products,1.6,9.9,6.6,6.0,Yes
Rice,18.0,31.7,11.4,16.3,Yes
Bread,48.9,97.6,63.3,44.5,No
Vegetables,66.5,13.5,24.9,12.7,Yes
Vegetables,67.3,36.7,45.2,5.2,No
Fruits,77.7,40.9,35.9,19.4,No
Vegetables,38.4,48.0,62.2,8.9,Yes
Curry,17.8,109.1,11.7,54.1,No
Bread,5.0,84.6,51.9,9.2,No
Dairy Products,1.9,12.7,11.7,26.7,No
Curry,31.4,12.8,3.2,63.6,Yes
Vegetables,40.1,13.9,17.1,25.9,Yes
Curry,20.6,72.6,10.8,28.7,Yes
Fruits,11.9,8.7,4.0,29.4,Yes
Fruits,18.6,30.2,22.3,4.2,No
Fast Food,15.8,41.3,5.3,70.4,No
Vegetables,51.7,22.8,22.9,22.5,Yes
Vegetables,37.2,52.5,56.8,18.4,No
Curry,21.2,47.5,11.2,45.2,No
Curry,12.4,47.8,4.9,69.5,Yes
Bread,37.2,17.6,37.5,7.1,No
Rice,36.4,10.2,14.1,79.4,No
Fruits,33.7,20.3,19.7,21.6,No
Fruits,8.1,14.6,70.2,27.0,No
Rice,6.6,40.4,6.9,42.1,Yes
Vegetables,66.5,22.7,27.7,29.6,Yes
Fast Food,16.8,9.0,5.3,10.2,Yes
Bread,19.3,117.6,32.4,31.3,No
Curry,1.1,91.8,0.7,39.8,Yes
Vegetables,61.9,14.3,42.6,16.4,No
Vegetables,42.4,14.7,39.6,22.9,No
Rice,10.1,5.0,6.6,8.1,Yes
Fast Food,15.5,19.9,1.0,4.3,Yes
Dairy Products,9.2,26.4,8.5,13.9,No
Dairy Products,17.8,37.3,1.6,4.9,Yes
Fast Food,2.6,25.6,3.5,19.9,Yes
Bread,32.1,83.5,50.3,30.6,No
Rice,24.7,62.0,16.8,83.8,No
Fast Food,8.6,31.5,6.0,25.1,Yes
Fruits,42.1,28.4,53.4,3.1,No
Curry,1.1,2.9,9.6,5.6,Yes
Fruits,33.7,15.0,60.7,23.7,No
Dairy Products,9.2,31.6,4.0,11.7,No
Rice,34.6,30.7,13.2,50.4,Yes
Curry,13.9,40.6,10.3,77.5,No
Fruits,13.3,20.7,93.5,35.3,No
Dairy Products,2.6,20.8,7.0,17.4,No
Curry,23.5,39.8,13.8,66.6,No
Bread,50.6,57.5,27.3,26.7,Yes
Fruits,15.8,5.3,84.6,8.9,No
Bread,25.4,79.6,17.5,22.6,Yes
Vegetables,21.9,6.7,56.6,30.0,No
Vegetables,2.7,29.0,36.3,3.6,Yes
Bread,46.8,30.1,62.8,41.1,No
Curry,29.3,55.1,10.8,42.0,No
Dairy Products,25.6,34.9,4.3,24.3,No
Rice,29.3,28.1,16.1,23.9,Yes
Vegetables,23.0,26.5,8.9,1.7,No
Vegetables,39.6,6.1,39.3,19.7,Yes
Vegetables,17.9,4.3,44.3,10.2,No
Rice,24.1,60.8,2.4,-0.2,No
Dairy Products,18.3,23.7,10.1,18.1,No
Bread,49.2,109.8,48.5,26.7,Yes
Vegetables,10.1,48.8,66.3,16.1,No
Fruits,19.3,10.1,93.1,22.8,No
Curry,28.3,79.8,11.9,74.4,No
Rice,24.3,31.6,8.6,10.4,Yes
Vegetables,9.8,6.2,59.0,30.9,No
Fast Food,8.3,27.7,3.7,15.3,Yes
Fruits,31.3,15.3,88.0,21.6,No
Vegetables,55.3,32.7,17.4,24.8,No
Fast Food,12.7,35.5,3.0,42.2,Yes
Bread,57.4,19.7,8.3,40.7,No
Bread,30.2,102.4,7.0,40.9,No
Fast Food,4.5,9.0,3.4,28.1,Yes
Curry,27.6,38.0,8.8,77.2,No
Dairy Products,29.5,13.8,1.5,-4.7,No
Fast Food,4.1,17.7,2.5,41.7,Yes
Fast Food,24.5,6.6,2.1,-2.3,Yes
Fruits,50.4,32.0,44.1,14.6,No
Fruits,12.0,25.0,91.2,11.2,No
Fast Food,17.1,8.1,0.9,-3.7,Yes
Dairy Products,13.7,39.6,1.5,16.2,No
Fast Food,17.7,55.8,3.9,33.6,No
Fruits,29.1,8.4,65.5,21.0,No
Dairy Products,15.6,16.4,6.8,7.1,Yes
Fruits,56.7,5.1,52.3,26.1,No
Fast Food,24.6,46.7,3.1,1.6,No
Curry,19.4,89.0,14.4,2.0,No
Bread,37.2,136.5,38.8,0.5,No
Vegetables,51.6,25.3,69.2,30.9,No
Dairy Products,27.8,30.0,8.9,13.6,No
Vegetables,12.7,3.1,71.3,31.4,No
Fruits,7.5,22.8,92.0,7.5,No
Bread,51.6,12.0,8.5,8.7,No
Dairy Products,14.0,32.3,3.5,18.1,Yes
Fast Food,1.8,59.0,5.8,45.6,No
Fast Food,24.8,46.2,1.8,32.4,Yes
Vegetables,51.7,20.7,46.4,29.0,No
Fruits,32.5,13.6,80.7,28.9,No
Dairy Products,21.5,19.0,2.2,23.7,No
Fruits,54.6,43.3,73.9,-3.2,No
Fast Food,11.4,55.1,5.2,23.5,No
Bread,39.6,64.8,55.8,37.5,No
Fast Food,5.7,20.2,4.3,10.3,No
Fast Food,2.6,24.7,3.4,53.3,Yes
Bread,12.4,13.3,7.1,46.9,No
Vegetables,45.0,42.5,9.1,33.5,Yes
Fast Food,24.2,53.8,4.3,16.5,No
Dairy Products,14.1,39.8,9.3,17.8,No
Bread,10.6,20.4,56.1,19.1,No
Bread,57.4,47.1,32.0,24.6,Yes
Fruits,15.1,22.1,16.0,29.6,No
Fruits,57.5,4.6,8.3,20.7,Yes
Rice,44.9,13.4,11.7,79.0,No
Curry,28.3,108.6,8.8,41.4,Yes
Fruits,35.4,38.0,84.5,30.3,No
Fruits,76.4,36.8,52.3,20.5,No
Bread,41.2,66.1,45.7,47.9,No
Fast Food,24.1,4.8,3.0,60.2,No
Vegetables,3.7,23.0,14.2,26.3,Yes
Fruits,7.7,28.5,79.5,1.3,No
Curry,20.1,7.6,8.3,22.7,No
Rice,2.8,5.0,14.3,-1.1,No
Fruits,75.3,39.2,58.2,28.3,No
Rice,37.0,44.0,0.8,76.6,Yes
Dairy Products,19.8,0.6,7.8,24.9,No
Fruits,49.3,37.6,7.4,31.8,Yes
Fast Food,15.8,3.8,1.6,23.7,Yes
Bread,8.1,105.8,39.5,16.1,Yes
Fast Food,2.1,10.4,0.8,18.3,Yes
Dairy Products,11.7,6.6,3.3,14.2,No
Fruits,62.4,0.7,52.8,-4.7,No
Dairy Products,19.9,35.5,5.3,21.6,No
Curry,6.6,32.5,7.0,16.5,No
Vegetables,13.4,30.0,68.4,23.2,No
Fruits,1.4,10.6,13.1,18.9,Yes
Fast Food,19.3,32.4,1.7,60.5,No
Rice,10.5,71.7,12.5,82.2,No
Curry,27.1,5.2,9.9,20.7,No
Vegetables,56.6,45.5,3.6,28.3,No
Curry,31.6,58.2,2.2,75.6,Yes
Vegetables,23.5,11.9,48.9,9.7,Yes
Curry,4.8,88.5,13.1,28.8,Yes
Vegetables,34.4,53.4,10.9,36.8,No
Bread,9.0,110.8,45.7,48.8,No
Rice,34.9,5.4,2.9,71.6,No
Fast Food,9.2,53.2,3.8,62.1,No
Curry,23.5,66.3,3.8,32.1,Yes
Vegetables,33.7,27.8,1.5,14.3,Yes
Bread,26.6,41.1,66.8,47.3,No
Fruits,78.4,1.8,51.1,29.6,No
Fruits,38.9,35.9,88.8,15.4,Yes
Fast Food,1.3,43.9,5.7,6.3,No
Rice,24.5,27.4,12.8,72.2,No
Fruits,37.6,6.2,76.1,3.3,Yes
Dairy Products,19.4,34.4,1.3,24.5,No
Bread,26.1,47.8,68.1,27.1,No
Vegetables,61.8,44.1,4.4,37.5,No
Rice,19.8,41.9,1.2,28.0,Yes
Vegetables,49.9,12.3,70.7,5.7,Yes
Dairy Products,28.2,23.2,11.5,1.9,No
Bread,21.8,47.4,49.1,13.9,Yes
Fruits,39.4,23.7,13.7,26.9,Yes
Bread,27.7,61.5,48.6,34.7,No
Curry,35.8,54.9,1.7,75.8,No
Rice,9.1,10.1,3.1,8.5,Yes
Bread,25.6,105.5,67.1,23.7,No
Bread,12.2,13.1,57.8,41.7,No
Fruits,46.7,29.5,85.1,16.9,Yes
Fast Food,14.2,27.5,3.6,71.4,No
Curry,19.9,116.5,11.7,-0.7,No
Curry,25.1,19.3,8.3,11.4,No
Curry,10.3,4.9,5.1,6.4,No
Curry,22.9,4.2,5.1,25.9,Yes
Curry,21.8,14.6,0.9,78.8,No
Bread,10.2,145.8,39.5,25.4,No
Fruits,71.8,43.6,81.6,39.7,No
Dairy Products,27.3,17.7,8.4,19.1,No
Dairy Products,17.0,12.3,5.1,22.7,No
Bread,4.2,99.8,42.2,11.1,Yes
Curry,1.9,64.6,7.0,55.4,Yes
Fruits,16.4,14.3,65.5,37.5,Yes
Fruits,12.7,38.4,40.2,11.8,No
Bread,58.7,132.4,6.8,36.4,No
Fast Food,11.6,9.8,4.5,71.3,No
Curry,33.6,71.8,2.6,22.3,Yes
Bread,4.9,144.4,54.6,4.4,No
Fruits,14.8,20.8,61.6,36.2,No
Bread,33.7,15.9,59.6,41.7,No
Dairy Products,14.4,1.1,0.5,3.7,Yes
Rice,33.0,80.3,7.8,39.3,Yes
Rice,6.8,24.9,17.9,1.0,No
Fruits,45.7,39.1,68.0,16.4,No
Bread,31.2,90.5,60.9,8.1,No
Fruits,70.4,6.1,18.1,7.3,Yes
Rice,15.2,47.7,16.9,41.2,Yes
Fast Food,3.3,45.2,3.5,69.2,No
Bread,41.4,106.4,7.4,29.0,Yes
Curry,21.2,44.8,7.5,25.6,Yes
Curry,7.0,26.5,3.2,75.7,Yes
Fast Food,13.8,33.1,4.7,4.7,No
Rice,41.1,83.1,8.9,23.0,No
Vegetables,37.1,58.2,12.8,8.7,Yes
Curry,6.0,83.3,10.5,22.7,No
Fruits,55.6,35.3,8.9,29.9,No
Curry,5.2,95.2,7.9,0.3,No
Rice,4.2,60.1,13.7,65.4,No
Vegetables,63.2,11.1,25.6,-0.9,Yes
Vegetables,25.0,9.6,36.3,27.8,No
Rice,5.9,52.0,0.7,14.5,Yes
Curry,36.2,64.5,14.6,3.9,No
Fast Food,18.0,22.0,3.7,32.4,Yes
Fast Food,9.5,22.8,1.7,14.3,Yes
Rice,23.8,46.8,9.2,27.5,No
Rice,17.1,10.4,5.5,49.0,Yes
Curry,22.6,34.9,12.9,12.0,Yes
Dairy Products,11.7,0.5,8.3,17.2,No
Dairy Products,20.6,4.8,5.0,17.9,Yes
Rice,18.8,17.9,4.0,71.0,Yes
Fast Food,11.2,29.9,4.7,60.1,No
Bread,29.1,94.4,29.4,24.2,Yes
Rice,7.0,44.0,4.5,79.8,No
Fast Food,2.6,40.7,5.8,27.5,No
Bread,37.7,23.5,6.0,37.6,No
Curry,12.4,59.7,7.8,43.8,Yes
Vegetables,2.2,45.8,71.3,34.6,No
Bread,51.3,72.0,3.1,8.8,Yes
Dairy Products,5.8,17.2,4.1,7.8,Yes
Dairy Products,15.2,22.2,6.7,10.5,No
Vegetables,4.8,15.8,42.8,12.0,Yes
Bread,4.6,92.7,9.7,18.3,Yes
Rice,38.5,56.3,7.2,33.5,Yes
Bread,4.3,44.2,17.3,15.6,No
Fast Food,8.3,20.3,0.6,22.7,Yes
Vegetables,36.5,25.3,2.0,16.1,Yes
Fruits,46.1,14.5,11.0,17.0,Yes
Bread,30.3,123.6,48.2,8.3,No
Curry,20.4,101.7,11.9,70.6,No
Bread,3.8,149.5,29.2,11.3,Yes
Dairy Products,25.5,3.8,4.4,-2.8,Yes
Fruits,17.6,35.8,70.5,8.6,No
Dairy Products,16.7,8.0,5.1,15.6,No
Curry,35.4,75.3,8.0,11.8,Yes
Bread,56.3,84.6,44.4,38.5,No
Dairy Products,19.2,20.9,4.7,-0.1,No
Fast Food,11.4,19.1,5.1,0.5,No
Bread,49.6,100.4,18.8,30.1,No
Curry,8.5,29.5,12.5,36.8,Yes
Fruits,52.1,1.7,17.6,1.1,Yes
Dairy Products,17.0,25.8,1.0,18.8,No
Fast Food,22.5,18.8,2.1,0.4,Yes
Dairy Products,20.1,3.6,11.3,18.9,No
Vegetables,51.7,56.0,37.8,32.3,Yes
Bread,30.3,22.6,43.4,38.7,No
Dairy Products,12.3,29.9,3.2,9.0,No
Curry,38.8,52.7,4.2,48.1,Yes
Dairy Products,28.5,12.7,5.4,17.5,No
Bread,29.0,61.5,22.5,32.3,No
Fast Food,18.7,47.9,0.8,73.0,No
Vegetables,27.5,38.3,50.6,35.6,No
Fast Food,6.7,26.5,0.5,76.7,Yes
Bread,6.3,125.2,17.3,10.5,Yes
Dairy Products,10.2,32.5,7.9,21.0,No
Fast Food,19.7,29.5,4.6,73.8,No
Fast Food,3.4,9.6,1.9,0.6,Yes
Dairy Products,10.5,27.8,9.3,16.2,No
Fast Food,16.4,0.2,1.6,21.0,Yes
Curry,10.7,85.6,11.6,53.4,Yes
Dairy Products,12.9,37.6,5.7,23.8,No
Dairy Products,18.2,13.1,3.7,-2.2,No
Fruits,75.6,39.8,24.6,37.7,Yes
Dairy Products,7.6,3.6,5.8,3.6,Yes
Fruits,49.8,27.0,16.5,38.1,Yes
Rice,1.7,47.3,14.0,78.5,No
Rice,12.0,18.3,17.1,68.2,No
Fruits,11.3,38.5,65.0,39.8,No
Fruits,15.2,35.7,3.6,38.9,No
Curry,15.4,82.1,7.1,-4.1,No
Dairy Products,12.5,8.5,4.9,9.0,No
Rice,28.3,4.7,16.8,37.4,Yes
Dairy Products,29.0,23.9,9.1,-3.5,No
Fruits,24.9,17.8,40.4,38.6,Yes
Curry,11.2,60.4,14.0,74.0,No
Dairy Products,16.4,5.7,1.8,-3.5,Yes
Dairy Products,11.5,17.2,10.9,3.7,No
Vegetables,22.6,53.6,23.1,39.8,No
Vegetables,59.9,39.4,57.6,-2.6,No
Curry,2.4,31.2,10.7,34.3,Yes
Rice,22.6,89.0,10.3,36.2,No
Rice,18.1,18.3,5.5,70.1,Yes
Vegetables,62.5,35.1,42.2,38.7,No
Curry,17.2,9.2,11.6,55.9,No
Bread,41.2,105.3,28.7,29.5,Yes
Curry,2.1,55.2,10.8,38.2,Yes
Vegetables,46.4,19.8,3.6,23.0,Yes
Curry,9.2,5.8,9.8,24.1,No
Vegetables,66.7,22.9,29.0,3.0,Yes
Rice,2.0,18.7,7.3,31.2,Yes
Rice,15.6,72.1,13.4,78.0,No
Curry,15.0,11.5,5.8,13.0,No
Fruits,22.2,27.0,10.2,14.0,Yes
Fruits,50.8,4.2,55.7,38.8,No
Fruits,42.7,29.1,9.5,16.1,Yes
Bread,9.8,27.9,65.1,42.1,No
Vegetables,4.3,4.6,3.7,-0.2,No
Fruits,53.2,25.6,27.7,6.5,Yes
Rice,6.6,59.5,3.6,11.4,Yes
Fruits,70.3,13.4,63.6,15.5,Yes
Fast Food,7.4,58.0,5.3,10.9,Yes
Bread,52.4,24.9,38.7,0.3,No
Dairy Products,14.8,27.7,10.5,26.9,No
Bread,37.5,146.3,26.3,33.7,No
Fast Food,8.3,7.5,0.6,4.5,Yes
Fast Food,1.6,28.9,1.3,15.6,Yes
Curry,4.4,92.4,2.6,33.0,Yes
Dairy Products,21.4,38.6,5.9,23.4,No
Bread,34.6,126.7,4.1,0.4,No
Fruits,68.0,33.2,64.6,19.9,No
Fruits,39.4,26.6,66.2,25.5,No
Curry,28.9,63.4,6.6,23.4,Yes
Fruits,10.2,28.0,70.0,15.2,No
Bread,43.8,75.7,31.8,25.4,Yes
Vegetables,59.9,42.9,34.0,34.7,No
Fruits,66.8,30.3,79.5,30.8,No
Vegetables,15.3,41.4,6.7,16.7,Yes
Vegetables,35.0,47.6,67.9,17.2,Yes
Rice,50.0,32.3,5.1,55.9,Yes
Rice,40.5,30.4,2.5,15.4,Yes
Bread,59.6,119.9,55.5,38.5,No
Fast Food,17.6,30.9,4.2,55.0,No
Fast Food,12.0,50.5,1.1,4.0,No
Fast Food,14.5,30.4,1.4,5.0,Yes
Curry,29.4,85.0,11.5,39.9,Yes
Dairy Products,11.5,32.8,1.9,1.7,No
Curry,33.6,56.8,4.7,10.4,Yes
Bread,38.1,44.4,54.4,26.5,Yes
Fast Food,11.3,55.1,5.4,75.9,No
Rice,22.7,69.3,13.1,41.6,No
Bread,24.7,118.1,31.5,19.7,Yes
Vegetables,5.0,37.9,51.5,24.7,No
Fruits,32.8,30.6,60.0,8.7,No
Rice,41.5,81.0,11.2,8.2,No
Vegetables,44.1,37.1,32.1,10.5,Yes
Fast Food,5.7,18.1,0.7,23.4,Yes
Vegetables,69.4,17.0,7.1,19.8,Yes
Rice,2.4,71.7,10.9,16.7,No
Vegetables,8.6,3.6,27.2,23.2,No
Fast Food,16.6,7.5,2.1,57.6,Yes
Fast Food,18.9,34.9,4.4,74.7,No
Curry,14.7,34.1,11.9,59.3,Yes
Vegetables,51.9,6.3,37.4,3.7,Yes
Rice,8.2,38.3,7.7,3.3,Yes
Fruits,18.0,3.5,73.3,13.1,Yes
Fast Food,7.3,29.9,2.8,32.4,Yes
Dairy Products,29.2,33.0,2.2,-0.8,No
Dairy Products,15.9,21.2,8.5,10.0,No
Vegetables,26.5,57.1,43.5,13.4,Yes
Bread,3.4,31.5,27.1,49.6,No
Rice,39.8,12.8,10.8,-0.6,Yes
Curry,8.1,88.8,0.5,44.3,Yes
Fruits,39.0,13.9,49.1,10.2,Yes
Curry,30.7,60.6,7.2,35.5,Yes
Rice,40.2,59.8,7.7,16.0,Yes
Rice,47.9,80.1,13.4,53.1,No
Vegetables,44.5,46.3,22.6,24.0,No
Curry,38.3,65.0,11.5,81.2,No
Vegetables,62.9,7.2,67.4,3.1,Yes
Curry,33.4,100.7,8.9,2.6,No
Fruits,47.5,22.1,100.9,10.3,No
Fast Food,13.7,22.9,1.0,78.3,Yes
Curry,8.1,92.2,2.7,80.7,No
Vegetables,67.3,10.9,51.5,8.4,Yes
Fruits,71.5,11.6,101.7,35.5,No
Fast Food,15.3,14.2,3.3,37.9,Yes
Rice,16.6,49.8,1.6,-2.4,No
Bread,33.7,92.1,7.8,38.1,Yes
Bread,34.5,72.4,61.0,25.0,Yes
Bread,32.9,33.5,18.0,47.6,Yes
Fruits,4.3,36.6,103.8,22.9,No
Rice,3.9,83.0,5.3,17.6,Yes
Fast Food,16.2,35.1,3.3,-1.1,No
Rice,15.7,35.6,2.7,7.6,Yes
Fruits,17.7,22.7,86.7,34.8,No
Fast Food,18.0,16.4,4.1,22.3,Yes
Bread,1.9,106.9,46.7,0.1,No
Dairy Products,6.0,22.2,8.5,11.1,No
Fast Food,22.0,39.1,3.5,70.9,No
Dairy Products,4.6,38.9,4.8,14.8,No
Rice,23.7,84.3,8.3,14.9,No
Dairy Products,27.7,14.3,1.5,15.2,No
Curry,39.2,116.1,1.0,39.4,Yes
Curry,1.3,118.1,9.8,5.0,Yes
Fruits,14.5,8.7,79.9,25.2,No
Rice,29.8,67.1,2.7,79.0,Yes
Dairy Products,23.7,7.7,8.3,27.7,No
Vegetables,18.5,33.6,33.0,37.2,No
Fast Food,23.5,26.0,6.0,18.3,Yes
Fruits,29.6,34.2,95.5,5.1,No
Vegetables,32.0,0.3,14.4,-1.3,No
Dairy Products,7.5,27.6,11.5,25.3,No
Bread,4.7,97.5,2.5,21.6,Yes
Fast Food,7.0,6.5,1.8,24.0,Yes
Vegetables,55.8,56.6,56.0,22.9,No
Vegetables,9.6,58.5,66.0,12.0,No
Fast Food,4.1,55.1,2.9,20.6,No
Rice,34.2,50.3,5.7,29.3,Yes
Curry,34.7,94.5,9.5,35.8,No
Vegetables,43.7,20.4,67.5,30.2,No
Vegetables,14.3,6.2,43.1,-2.0,No
Vegetables,9.7,30.5,25.9,16.7,Yes
Curry,6.4,5.3,2.4,47.6,Yes
Bread,35.4,85.8,10.9,23.5,Yes
